,Subject,trial,looking_time,phase,prop_looking,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
1,Panda,occlusion_demo3,24.03332269,27.099988,0.886838868,13,american_staffordshire_terrier,14/03/2019,12/02/2022,34,f,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,
2,Alfonso,occlusion_demo3,24.44998309,27.54998095,0.887477314,34,mix,01/10/2015,23/02/2022,76,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,23.2.2022.
3,Alou,occlusion_demo3,20.58333334,27.81666667,0.73996405,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,
4,Aria,occlusion_demo3,13.08333032,26.09999399,0.501277139,30,australian_shepherd,26/03/2019,07/03/2022,35,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.3.2022.
5,Aslan4,occlusion_demo3,4.133333334,28.15,0.146832445,82,miniature_spitz,12/09/2018,17/03/2022,42,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
6,Baerli,occlusion_demo3,12.76665716,26.13331388,0.488520408,73,irish_glen_of_imaal_terrier,30/03/2015,10/03/2022,83,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
7,Bento,occlusion_demo3,17.9333256,29.01665415,0.618035612,23,mix,02/10/2020,19/02/2022,16,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,14.03.2022
8,Butch,occlusion_demo3,13.3,26.98333333,0.49289685,22,boxer,07/05/2019,19/02/2022,33,m,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,4.3.2022.
9,Cacho,occlusion_demo3,25.46666667,25.48333333,0.999345978,16,retriever,25/04/2018,16/02/2022,45,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.2.2022.
10,Caruso,occlusion_demo3,15.88332304,26.68331603,0.595252967,84,border_collie,02/05/2015,18/02/2022,81,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Ana,30.3.2022.
11,Cela,occlusion_demo3,13.45,27.66666667,0.486144578,57,border_collie,19/09/2019,05/03/2022,29,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,5.4.2022.
12,Crash,occlusion_demo3,19.71666208,31.06665945,0.634656652,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
13,Cuba,occlusion_demo3,25.1833208,26.53332013,0.949120603,69,staffordshire_bull_terrier,24/11/2017,08/03/2022,51,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,22.4.2022.
14,Cully,occlusion_demo3,26.38332156,26.38332156,1,76,cocker_spaniel,13/06/2018,14/03/2022,45,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,29.4.2022.
15,Cwinta,occlusion_demo3,14.7,26.1,0.563218391,58,kooikerhondje,27/04/2016,05/03/2022,70,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,5.4.2022.
16,Django2,occlusion_demo3,24.45,26.7,0.915730337,31,american_staffordshire_terrier,24/06/2015,22/02/2022,79,m,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,23.3.2022.
17,Duana,occlusion_demo3,12.56666667,27.9,0.45041816,64,irish_glen_of_imaal_terrier,03/12/2016,07/03/2022,63,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,15.4.2022.
18,Emil8,occlusion_demo3,12.31665751,26.48331364,0.465072372,53,poodle,28/10/2019,02/03/2022,28,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,1.4.2022.
19,Emma19,occlusion_demo3,20.86666666,25.9,0.805662806,47,mix,25/11/2020,28/02/2022,15,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
20,Felix6,occlusion_demo3,9.466664399,25.68332718,0.368591824,72,german_spitz,17/12/2015,15/03/2022,74,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,23.4.2022.
21,Filou8,occlusion_demo3,23.63333333,27.08333333,0.872615385,25,labrador_retriever,01/09/2011,06/03/2022,126,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,10.3.2022.
22,Finn8,occlusion_demo3,11.03333084,24.1666612,0.456551724,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
23,Finne-Failbhe,occlusion_demo3,24.84999452,28.76666032,0.863847045,81,irish_glen_of_imaal_terrier,12/12/2019,17/03/2022,27,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
24,Fiona,occlusion_demo3,8.766664664,28.63332679,0.306169965,4,rhodesian_ridgeback,03/03/2012,09/02/2022,119,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Christoph,
25,Gismo4,occlusion_demo3,27.05,27.75,0.974774775,26,mix,16/01/2015,21/02/2022,85,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura ,06.03.2022
26,Grace2,occlusion_demo3,27.79998085,27.79998084,1,12,boxer,13/03/2019,12/02/2022,34,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,23.2.2022.
27,Grisu2,occlusion_demo3,15.61666255,27.88332599,0.560071727,48,vizsla,22/10/2018,28/02/2022,40,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
28,Henry2,occlusion_demo3,14.2,26.16666667,0.542675159,36,irish_setter,07/03/2015,23/02/2022,83,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Ana,24.3.2022.
29,Henry3,occlusion_demo3,18.91665603,29.09998364,0.650057274,50,weimaraner,01/05/2018,01/03/2022,46,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
30,Kali2,occlusion_demo3,25.44998287,26.41664888,0.96340694,15,border_collie,22/09/2020,14/02/2022,16,f,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Ana,19.3.2022.
31,Kylie,occlusion_demo3,7.25,26.23333333,0.276365947,61,australian_shepherd,05/05/2017,06/03/2022,58,f,?,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,10.4.2022.
32,Lea3,occlusion_demo3,28.09999352,28.71666004,0.978525827,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.
33,Leaf,occlusion_demo3,25.59998779,28.51665307,0.897720631,78,golden_retriever,21/05/2012,14/03/2022,117,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,2.5.2022.
34,Liva,occlusion_demo3,24.24999433,27.23332698,0.890452876,41,golden_retriever,01/05/2014,24/02/2022,93,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,26.3.2022.
35,Loki4,occlusion_demo3,7.466664924,31.46665932,0.237288136,24,mix,01/09/2014,21/02/2022,89,m,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,6.3.2022.
36,Lolo,occlusion_demo3,14.1,26.75,0.527102804,35,mix,01/01/2016,23/02/2022,73,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,24.3.2022.
37,Lucy17,occlusion_demo3,24.38333333,25.61666667,0.951854261,49,lakeland_terrier,15/05/2016,01/03/2022,69,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
38,Lumpi,occlusion_demo3,18.95,26.33333333,0.719620253,66,mix,15/10/2015,07/03/2022,76,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,15.4.2022.
39,Manni2,occlusion_demo3,21.53332769,25.8166599,0.834086507,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.
40,Maya,occlusion_demo3,22.55,23.4,0.963675214,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.
41,Mazikeen,occlusion_demo3,14.21665654,26.33331458,0.539873418,68,hovawart,06/03/2020,10/03/2022,24,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,21.4.2022.
42,Nala12,occlusion_demo3,13.05,27.23333333,0.479192167,10,maltipoo,02/05/2019,11/02/2022,33,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,21.2.2022.
43,Nele3,occlusion_demo3,23.48331947,32.99998051,0.711616162,42,mix,29/03/2011,24/02/2022,130,f,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,27.3.2022.
44,Nora3,occlusion_demo3,26.66666667,26.66666667,1,51,weimaraner,23/09/2014,01/03/2022,89,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura,29.3.2022.
45,Ona,occlusion_demo3,22.54998412,27.14998089,0.830570902,19,czechoslovak_wolfdog,14/06/2020,17/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
46,Paddy,occlusion_demo3,12.7166582,27.78331484,0.457708458,54,irish_setter,18/03/2017,03/03/2022,59,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,2.4.2022.
47,Paula2,occlusion_demo3,18.98332327,29.76665089,0.637737962,2,jack_russell_terrier,16/08/2020,08/02/2022,17,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,
48,Pebbles3,occlusion_demo3,10.88332914,28.79998889,0.377893519,9,french_bulldog,05/01/2019,11/02/2022,37,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,
49,Puck2,occlusion_demo3,23.36666666,26.51666667,0.881206788,74,airedale_terrier,27/07/2018,11/03/2022,43,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
50,Ragnar,occlusion_demo3,23.21666667,32.35,0.717671303,5,bedlington_terrier,01/02/2018,09/02/2022,48,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana and Laura,
51,Ravenna,occlusion_demo3,13.01666667,27.23333333,0.477968176,32,american_staffordshire_terrier,29/04/2017,22/02/2022,57,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,24.3.2022.
52,Ronja7,occlusion_demo3,29.1,30.01666667,0.96946141,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,
53,Ronja8,occlusion_demo3,26.86666088,27.5333274,0.975786925,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
54,Sahibu,occlusion_demo3,24.0833273,25.78332687,0.934065934,83,mix,21/03/2014,16/03/2022,95,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
55,Samba2,occlusion_demo3,27.48332646,27.48332646,1,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
56,Samira,occlusion_demo3,22.55,26.88333333,0.838809672,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.
57,Sheila,occlusion_demo3,14.75,26.36666667,0.559418458,27,mix,01/12/2012,21/02/2022,110,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura ,6.3.2022.
58,Sixtus,occlusion_demo3,26.6,26.6,1,33,petit_brabancon,30/07/2016,23/02/2022,66,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,23.2.2022.
59,Stella5,occlusion_demo3,8.133333333,24.8,0.327956989,70,labrador_retriever,21/09/2018,09/03/2022,41,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,23.4.2022.
60,Toffee3,occlusion_demo3,27.23333333,30.18333333,0.902263943,8,continental_bulldog,19/02/2014,10/02/2022,95,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Ana,21.2.2022.
61,Travis,occlusion_demo3,21.23331911,26.78331538,0.792781581,39,siberian_husky,18/03/2015,24/02/2022,83,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,26.5.2022.
62,Woody,occlusion_demo3,27.31666034,27.31666034,1,28,staffordshire_bull Terrier,11/06/2014,22/02/2022,92,m,n,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura ,8.3.2022.
63,Woody2,occlusion_demo3,16.73333333,26.26666667,0.637055837,55,border_collie,26/04/2019,03/03/2022,34,m,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,4.4.2022.
